"","Control__1","Control__2","Control__3","Dose0_005__1","Dose0_005__2","Dose0_005__3","Dose0_08__1","Dose0_08__2","Dose0_08__3","Dose2__1","Dose2__2","Dose2__3","Dose24__1","Dose24__2","Dose24__3"
"hsa-miR-203a-3p",6694.18618626257,13231.3185791415,5313.20287027556,7151.14254670826,4283.56535510146,5384.0094711071,5235.77709401285,6057.61807014058,5367.72954080541,5271.62717064789,3827.14210164565,4669.61269887137,7242.54342143348,5618.82906076918,4491.8881525622
"hsa-miR-205-5p",49051.2049754461,57645.9960206819,43202.4364533882,37399.1430082506,34308.9338347277,54900.0715756952,39303.2333857231,19610.9937522537,29566.9964209005,61439.8780903937,70676.6488115382,29063.6694377754,73646.0875999697,58338.7066679862,32853.4610228096
"hsa-miR-20a-5p",0,531.912304689107,0,266.502206709625,0,294.43801795117,69.8103612535047,457.589854219253,177.935785883052,53.5190575700294,188.220103359622,261.498311136797,20.3442230939143,465.758317206616,69.64167678391
"hsa-miR-21-3p",177.721757157413,997.335571292075,0,666.255516774061,202.054969580258,336.500591944194,663.198431908295,305.059902812835,415.183500393788,294.354816635162,188.220103359622,784.494933410391,406.884461878286,386.480305767192,330.797964723573
"hsa-miR-21-5p",140459.428740076,122938.23142127,105828.548973521,169406.569398418,120748.049821162,250120.889992119,114035.2251076,118668.302194193,148813.628926859,145732.39376319,134389.15379877,130188.802044534,205903.881933506,224049.570079242,171214.062373243
"hsa-miR-210-3p",4680.00627181188,2327.11633301484,1567.83035516328,932.757723483686,1980.13870188652,757.126331874436,2513.17300512617,1045.91966678686,1097.27067961215,1177.41926654065,1693.9809302366,2054.6295875034,508.605577347857,475.668068636544,644.185510251168
"hsa-miR-2110",533.16527147224,0,522.61011838776,444.170344516041,2101.37168363468,370.150651138613,628.293251281542,871.599722322386,1304.86242980905,321.114345420176,533.290292852263,560.353523864565,386.540238784371,218.014531458416,348.20838391955
"hsa-miR-22-3p",7938.23848636446,6183.48054201086,4442.18600629596,9105.49206257884,1252.7408113976,6561.76154291178,5026.34601025234,1961.09937522537,10854.0829388662,9499.63271868021,6838.66375539961,4968.46791159914,11433.4533787798,7541.32083817521,6093.64671859213
"hsa-miR-22-5p",592.405857191378,598.401342775245,0,266.502206709625,525.34292090867,210.312869965121,418.862167521028,174.319944464477,296.55964313842,454.91198934525,31.3700172266037,933.922539774275,264.474900220886,297.29254289784,261.156287939663
"hsa-miR-221-3p",54738.3012044833,48337.5306886226,43115.3347669902,30070.332323736,43765.1064110838,41406.397838733,47087.0886654889,28980.6907672193,24881.3540593135,25769.4262199691,42914.1835659939,33920.0666446017,29499.1234861757,31691.3850729098,31930.7088054227
"hsa-miR-222-3p",10307.86191513,12034.515893591,6619.72816624496,8217.15137354676,4849.31926992618,9203.2911896737,8132.9070860333,3987.56872962492,8600.22965101419,9124.99931569001,8814.97484067564,5827.67664819147,12999.9585570112,11643.9579301654,8722.62001718473
"hsa-miR-224-5p",6161.02091479033,4454.76555177127,2613.0505919388,3597.77979057993,4364.38734293356,2692.00473555355,1361.30204444334,2636.58916002522,1482.7982156921,2756.23146485651,4925.09270457678,1456.91916204787,3255.07569502628,2289.15258031337,2158.89198030121
"hsa-miR-23a-3p",23696.2342876551,27526.4617676613,24649.7772506227,21542.261709028,27802.7638142434,25077.706614641,33125.016414788,24797.0121000719,20729.5190553756,20310.4823478261,22429.5623170217,22376.7840529916,14830.9386354635,15984.4290564739,14102.4395487418
"hsa-miR-23b-3p",3791.39748602482,2992.00671387622,5748.71130226536,3731.03089393474,7597.26685621768,6376.68621734247,5724.44962278739,5360.33829228267,3825.61939648562,5646.2605736381,6838.66375539961,7396.66651501225,4251.94262662808,6035.03862082616,7190.50312793871
"hsa-miR-24-3p",11966.5983152658,7247.30515138908,13500.7613916838,6085.13371986976,16245.2195542527,4980.20876077407,13543.2100831799,5665.39819509551,8274.01404356193,6368.7678508335,12108.826649469,9152.44088978789,9887.29242364234,6500.79693803277,5519.10288512487
"hsa-miR-25-3p",5153.93095756499,4720.72170411582,3048.5590239286,6307.21889212778,5172.60722125459,4660.53319842709,3385.80252079498,4183.67866714745,4655.9863972732,5030.79141158276,5458.38299742905,5640.89214023662,4129.8772880646,3973.81032340113,3830.29222311505
"hsa-miR-26a-5p",11196.470700917,6050.50246583859,11061.9141725409,14435.5361967713,9132.88462502764,21384.6126180535,10750.7956330397,15558.0550434546,10616.8352243554,21354.1039704417,21112.0215935043,18230.1679763938,30597.7115332471,30512.1246527483,32609.7151540659
"hsa-miR-26b-5p",2843.54811451861,4787.21074220196,2525.94890554084,6040.71668541816,3798.63342810884,7234.76272680017,3769.75950768925,4728.42849359894,3973.89921805483,6154.69162055338,4768.24261844376,4370.7574861436,9093.86772297968,7927.80114394241,6633.36971366743
"hsa-miR-27a-3p",2606.58577164206,3523.91901856533,4442.18600629596,4219.61827290239,1656.85075055811,3735.15657058055,3141.46625640771,4314.41862549581,5278.76164786388,7144.79418559892,4799.61263567037,2951.19522568671,4496.07330375506,5529.64129789983,3307.97964723573
"hsa-miR-27b-3p",16646.6045870777,22340.3167969425,14023.3715100716,22874.7727425761,14709.6017854428,22848.3901930108,9947.97647862442,19894.2636620085,22123.3493781261,23146.9923990377,17849.5398019375,12888.131048885,18635.3083540255,19591.5785769677,15651.9668571838
