"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6791312","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","18/1871","49/11287",0.36734693877551,2.21605820307813,3.80260819320258,0.000529307346776193,0.00356455416344593,0.00356455416344593,"5933/1026/57472/4850/983/4869/79733/7157/1869/29883/2033/55835/23019/890/1027/581/5111/1820",18
"R-HSA-9937848","R-HSA-9937848","CHD chromatin remodelers","43/1871","159/11287",0.270440251572327,1.63145864216828,3.574444900433,0.000542663014405623,0.00364027640791943,0.00364027640791943,"9112/10262/80205/57459/3066/23451/10320/57680/333932/9219/5928/8357/23450/10523/3021/8338/10291/11198/7182/6925/11335/9646/8351/2033/85236/11325/6628/8331/10951/9879/10992/6634/53615/1108/8358/554313/3017/8337/8370/6749/8349/1665/8343",43
"R-HSA-8876384","R-HSA-8876384","Listeria monocytogenes entry into host cells","10/1871","20/11287",0.5,3.01630144307857,4.02290709804114,0.000564974078639595,0.00376067687866665,0.00376067687866665,"867/9146/999/2060/6455/7311/1500/4233/2885/30011",10
"R-HSA-111471","R-HSA-111471","Apoptotic factor-mediated response","10/1871","20/11287",0.5,3.01630144307857,4.02290709804114,0.000564974078639595,0.00376067687866665,0.00376067687866665,"54205/708/836/331/578/842/5594/581/5595/1029",10
"R-HSA-162587","R-HSA-162587","HIV Life Cycle","41/1871","150/11287",0.273333333333333,1.64891145554962,3.5663228200908,0.000571690225401785,0.00378459623297631,0.00378459623297631,"9150/1025/81929/137492/2547/1022/23225/2237/100526767/5478/6874/5432/9818/22916/5045/5441/11198/51616/7514/3159/6924/5901/51652/11168/9883/4836/79720/905/79023/53371/8086/23327/348995/7311/5903/2962/7852/1104/8021/9525/6749",41
"R-HSA-174417","R-HSA-174417","Telomere C-strand (Lagging Strand) Synthesis","14/1871","34/11287",0.411764705882353,2.48401295312353,3.86292861399362,0.000577348497257987,0.00378459623297631,0.00378459623297631,"2237/5984/641/80169/6118/6117/5424/5422/5985/54921/5557/63922/5111/79075",14
"R-HSA-9634815","R-HSA-9634815","Transcriptional Regulation by NPAS4","14/1871","34/11287",0.411764705882353,2.48401295312353,3.86292861399362,0.000577348497257987,0.00378459623297631,0.00378459623297631,"27327/405/23112/7514/4193/627/5978/2908/192669/8851/5594/27161/26523/5595",14
"R-HSA-187687","R-HSA-187687","Signalling to ERKs","14/1871","34/11287",0.411764705882353,2.48401295312353,3.86292861399362,0.000577348497257987,0.00378459623297631,0.00378459623297631,"2889/7529/9261/3845/1398/4893/5906/10818/1432/57498/5594/673/5595/2885",14
"R-HSA-1980143","R-HSA-1980143","Signaling by NOTCH1","24/1871","74/11287",0.324324324324324,1.95651985496988,3.67978656893236,0.000585915926497017,0.00381177002747493,0.00381177002747493,"8841/3066/182/4609/3516/1024/8850/9759/4851/7088/3091/57534/7091/51107/2648/23220/2033/10014/7311/409/6868/102/79885/142678",24
"R-HSA-1445148","R-HSA-1445148","Translocation of SLC2A4 (GLUT4) to the plasma membrane","24/1871","74/11287",0.324324324324324,1.95651985496988,3.67978656893236,0.000585915926497017,0.00381177002747493,0.00381177002747493,"23265/9371/207/7529/4012/208/7531/60/4644/9882/11127/10381/7534/10890/6814/51552/10971/23433/4627/10376/71/808/801/23216",24
"R-HSA-912446","R-HSA-912446","Meiotic recombination","27/1871","87/11287",0.310344827586207,1.87218710260049,3.6402731051818,0.000601291032077125,0.00385429588833088,0.00385429588833088,"472/333932/29893/8357/3021/8338/5932/641/5888/84057/6118/55732/6117/8351/85236/8331/1019/675/4361/8358/554313/3017/8337/8370/672/8349/8343",27
"R-HSA-8875555","R-HSA-8875555","MET activates RAP1 and RAC1","7/1871","11/11287",0.636363636363636,3.83892910937272,4.19901135163351,0.000603631026594743,0.00385429588833088,0.00385429588833088,"2889/1398/5908/5906/85440/4233/2885",7
"R-HSA-9701898","R-HSA-9701898","STAT3 nuclear events downstream of ALK signaling","7/1871","11/11287",0.636363636363636,3.83892910937272,4.19901135163351,0.000603631026594743,0.00385429588833088,0.00385429588833088,"8841/3066/1786/3091/6774/2033/25942",7
"R-HSA-2586552","R-HSA-2586552","Signaling by Leptin","7/1871","11/11287",0.636363636363636,3.83892910937272,4.19901135163351,0.000603631026594743,0.00385429588833088,0.00385429588833088,"8660/5781/6774/3667/6777/25970/9021",7
