"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-75035","R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"7465/11200/891/983/1111/7531/2810/7533/7534",9
"R-HSA-4839743","R-HSA-4839743","Signaling by CTNNB1 phospho-site mutants","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"139285/5529/1499/5528/5515/1452/324/2932/5527",9
"R-HSA-5339716","R-HSA-5339716","Signaling by GSK3beta mutants","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"139285/5529/1499/5528/5515/1452/324/2932/5527",9
"R-HSA-5358747","R-HSA-5358747","CTNNB1 S33 mutants aren't phosphorylated","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"139285/5529/1499/5528/5515/1452/324/2932/5527",9
"R-HSA-5358749","R-HSA-5358749","CTNNB1 S37 mutants aren't phosphorylated","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"139285/5529/1499/5528/5515/1452/324/2932/5527",9
"R-HSA-5358751","R-HSA-5358751","CTNNB1 S45 mutants aren't phosphorylated","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"139285/5529/1499/5528/5515/1452/324/2932/5527",9
"R-HSA-5358752","R-HSA-5358752","CTNNB1 T41 mutants aren't phosphorylated","9/2421","15/11287",0.6,2.79727385377943,3.63967788650165,0.00132977302106526,0.0154776502878921,0.011216666679966,"139285/5529/1499/5528/5515/1452/324/2932/5527",9
"R-HSA-6806834","R-HSA-6806834","Signaling by MET","29/2421","79/11287",0.367088607594937,1.71141227340936,3.31569360875773,0.00133229374843747,0.0154776502878921,0.011216666679966,"3912/3675/6233/1289/84951/5795/3265/2335/4233/23163/3673/6774/3082/1398/382/5867/9101/4893/5295/5770/6456/1399/5908/7314/2885/3909/1278/3845/6714",29
"R-HSA-9617629","R-HSA-9617629","Regulation of FOXO transcriptional activity by acetylation","7/2421","10/11287",0.7,3.26348616274267,3.74183478414062,0.00133992950806817,0.0154776502878921,0.011216666679966,"2308/1387/2309/10628/8850/23411/2033",7
"R-HSA-4615885","R-HSA-4615885","SUMOylation of DNA replication proteins","19/2421","45/11287",0.422222222222222,1.96845197117812,3.40146579496387,0.00134666330811126,0.0154776502878921,0.011216666679966,"9972/7155/10401/5111/9688/23511/5903/348995/8480/55706/5905/9212/7329/51588/79023/11097/10762/7150/23165",19
