"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69236","R-HSA-69236","G1 Phase","23/2421","47/11287",0.48936170212766,2.28146449067117,4.60019142361654,2.68669028973259e-05,0.00121890896302605,0.000883344389954441,"7314/1032/4331/3717/898/6233/5753/5515/595/1870/1019/1017/9134/6714/25/1871/1029/1021/1027/5925/5520/894/1026",23
"R-HSA-201681","R-HSA-201681","TCF dependent signaling in response to WNT","73/2421","220/11287",0.331818181818182,1.54697720701438,4.28123600286223,3.17349781362282e-05,0.00140284877709891,0.0010166457338441,"8367/7314/1457/8970/5528/8322/3065/89780/25776/1387/5684/6233/84133/8337/7855/8359/5529/864/121504/5689/8363/4609/5527/7979/79412/5515/3021/4040/8658/7534/8346/9101/1452/4221/2033/1499/5700/8295/6657/85236/6934/139285/7474/5695/5706/8349/51176/554313/8321/22943/2932/207/7514/9757/8313/8323/5704/1855/331/8370/324/1487/7091/3014/8347/1857/11047/6658/6659/857/5713/8607/23401",73
"R-HSA-5218859","R-HSA-5218859","Regulated Necrosis","26/2421","57/11287",0.456140350877193,2.12658246193758,4.4556809957548,3.89323410953309e-05,0.00167798390120876,0.00121603639855666,"100526767/7314/8743/8473/8837/6233/54205/1687/3146/8795/10273/79643/51652/91782/6386/2319/837/356/841/331/836/578/581/5071/7332/7157",26
"R-HSA-9679506","R-HSA-9679506","SARS-CoV Infections","123/2421","415/11287",0.296385542168675,1.38178587957779,4.14088092942594,4.09609243888919e-05,0.00172235691820609,0.00124819356272471,"100526767/7314/9817/3065/7533/7187/51114/1387/3717/7096/10454/23511/23367/6189/59272/6233/26007/7991/6206/861/84061/9672/11253/64135/160/4780/348995/84818/163/63982/7189/7422/5094/9908/23165/3656/7409/4790/79643/4124/6234/51652/3837/7534/6385/22863/3339/91782/1915/51128/1452/7415/6201/8480/2033/23186/25921/5648/6667/2817/4869/3455/5478/5706/6192/5978/6184/7082/9868/2932/207/2530/6628/54815/57617/10762/2885/478/6231/3456/10146/57101/476/3570/11097/55706/3838/9972/6229/6885/57504/4089/9360/6632/6773/29760/6187/6606/79023/65082/30849/5170/23193/10802/5348/8829/5045/143/2810/5925/2239/6607/7555/9688/7329/7531/56965/857/3460/2280/3454/5903/23476",123
"R-HSA-109581","R-HSA-109581","Apoptosis","58/2421","167/11287",0.347305389221557,1.61918047424358,4.21237133393495,4.75563947554354e-05,0.00191161060523863,0.00138534587498876,"7314/8743/7533/28988/1612/8837/5684/6233/54205/1687/3146/5689/8795/115209/842/7979/27113/999/840/90427/3836/5580/3837/7534/1499/5700/56616/5599/3007/4001/5695/5706/356/7082/207/51765/841/5704/5534/637/331/6774/5366/596/836/578/324/839/1029/2620/581/7099/11047/7431/2810/7531/5713/7157",58
"R-HSA-4641262","R-HSA-4641262","Disassembly of the destruction complex and recruitment of AXIN to the membrane","17/2421","31/11287",0.548387096774194,2.55664814592744,4.53505770647439,4.76793828452791e-05,0.00191161060523863,0.00138534587498876,"5528/89780/7855/5529/5527/5515/4040/1452/1499/139285/8321/2932/1855/324/1857/857/23401",17
"R-HSA-9009391","R-HSA-9009391","Extra-nuclear estrogen signaling","32/2421","77/11287",0.415584415584416,1.93750569958748,4.3134029121628,5.23856119612343e-05,0.00204654338484452,0.00148313177820332,"3480/2773/2782/6722/2353/595/858/3845/2783/55970/3265/5295/2309/1956/4893/1385/808/207/7514/8877/596/2784/6714/2771/5170/2099/1027/10681/55625/4313/4314/857",32
"R-HSA-5688426","R-HSA-5688426","Deubiquitination","89/2421","284/11287",0.313380281690141,1.46101744710311,4.11172943758637,5.36355371616212e-05,0.00204654338484452,0.00148313177820332,"387/7314/10474/9817/8970/7187/4086/23326/57559/10454/8473/672/5684/6233/29086/7416/283899/8337/29844/367/55611/64135/7046/5689/78990/4609/7979/3416/3091/7189/79913/8850/23770/8658/7874/408/983/9097/114785/993/7528/8346/9101/7415/2033/4194/5700/8295/4087/85236/4193/440689/8314/27430/5695/5706/8349/10868/55432/84132/9868/93973/51616/8313/9929/5704/5728/6885/4089/324/1643/11274/2099/5071/4092/8347/11047/9958/8239/9960/51651/7128/54764/5713/8607/7048/7157/7040/56957",89
"R-HSA-195721","R-HSA-195721","Signaling by WNT","98/2421","319/11287",0.307210031347962,1.43225098051402,4.092334848709,5.49205644676575e-05,0.00204654338484452,0.00148313177820332,"8367/27327/387/7314/1457/8970/5528/8322/3065/89780/25776/1387/5684/6233/84133/8337/7855/2782/8359/5529/864/160/121504/5689/8363/4609/23112/5527/7979/163/79412/5515/3021/7976/4040/8658/57216/3845/7534/2783/8346/9101/1452/4221/2033/55970/1499/5700/8295/6657/85236/6934/139285/7474/5695/5706/8349/51176/554313/8321/22943/2932/808/3708/207/7514/9757/8313/50999/79971/8323/5704/5534/1855/331/5330/8370/2784/6885/1211/324/1487/26523/7091/3014/8347/1857/27161/11047/10681/6658/6659/857/54764/5713/8607/192669/23401",98
"R-HSA-4839726","R-HSA-4839726","Chromatin organization","112/2421","374/11287",0.299465240641711,1.39614381293804,4.07117860088665,5.57932361297521e-05,0.00204654338484452,0.00148313177820332,"8367/9682/51562/10474/2146/8970/4656/3065/9575/1387/23326/3717/79813/8473/10285/80205/3481/8337/10320/8284/8359/5105/8726/121504/8363/23135/4780/6599/1665/80314/10523/55869/8850/595/57325/3021/23450/4790/6839/6925/10992/10943/1105/121536/54623/1019/64769/8085/8346/8242/80853/10291/9275/6638/7182/2033/23186/1499/8295/29072/10902/85236/22807/440689/23168/8110/8349/5978/57634/8289/554313/58508/84991/9757/8313/6628/7975/8464/54815/11335/23338/9646/387893/64919/8370/10946/23133/55870/8518/6603/9640/57504/6632/1386/6938/6880/6187/6605/22806/605/10263/3014/8347/26009/9612/7329/23067/55683/23394/8607/8193/56970",112
